date,open,close,high,low,volume
2021-08-26,3537.310,3501.660,3537.320,3499.450,502903147.000
2021-08-27,3494.420,3522.160,3530.190,3493.380,455345906.000
2021-08-30,3535.070,3528.150,3539.490,3512.990,512785716.000
2021-08-31,3519.020,3543.940,3543.940,3496.390,524205056.000
2021-09-01,3543.870,3567.100,3582.320,3514.670,667276305.000
2021-09-02,3559.900,3597.040,3597.370,3557.680,572684039.000
2021-09-03,3602.740,3581.730,3613.950,3569.400,614532353.000
2021-09-06,3580.140,3621.860,3626.290,3580.140,521713276.000
2021-09-07,3621.710,3676.590,3681.930,3615.140,547721875.000
2021-09-08,3673.400,3675.190,3695.320,3661.000,586436193.000
2021-09-09,3666.820,3693.130,3693.450,3662.160,604810330.000
2021-09-10,3691.190,3703.110,3722.870,3681.640,635200433.000
2021-09-13,3699.250,3715.370,3716.830,3692.820,557484019.000
2021-09-14,3709.630,3662.600,3723.850,3655.630,564952386.000
2021-09-15,3651.160,3656.220,3677.530,3638.320,474970001.000
2021-09-16,3664.840,3607.090,3677.920,3606.730,546741474.000
2021-09-17,3595.270,3613.970,3620.960,3569.270,516850210.000
2021-09-22,3563.210,3628.490,3629.450,3560.500,472296053.000
2021-09-23,3651.270,3642.220,3670.950,3632.280,534995486.000
2021-09-24,3637.870,3613.070,3651.430,3607.790,507304772.000
2021-09-27,3625.960,3582.830,3640.810,3559.920,510802795.000
2021-09-28,3577.890,3602.220,3610.920,3568.820,444168807.000
2021-09-29,3573.520,3536.290,3573.520,3518.050,452511151.000
2021-09-30,3541.930,3568.170,3572.430,3541.930,395629626.000
2021-10-08,3609.090,3592.170,3612.550,3571.730,407161148.000
2021-10-11,3600.360,3591.710,3614.700,3586.750,394361159.000
2021-10-12,3581.300,3546.940,3583.640,3515.140,405393748.000
2021-10-13,3543.490,3561.760,3569.130,3515.650,325050667.000
2021-10-14,3555.110,3558.280,3569.690,3547.180,294969196.000
2021-10-15,3551.990,3572.370,3578.770,3542.690,320292984.000
2021-10-18,3571.050,3568.140,3571.050,3539.480,340950616.000
2021-10-19,3562.300,3593.150,3596.790,3560.620,334197652.000
2021-10-20,3583.240,3587.000,3596.050,3574.300,344245008.000
2021-10-21,3590.050,3594.780,3610.960,3576.350,352310867.000
2021-10-22,3594.750,3582.600,3607.580,3578.760,353157203.000
2021-10-25,3574.260,3609.860,3611.090,3564.210,321196816.000
2021-10-26,3612.830,3597.640,3625.020,3589.710,337278291.000
2021-10-27,3589.860,3562.310,3589.860,3553.130,350620940.000
2021-10-28,3548.700,3518.420,3552.040,3509.490,378171666.000
2021-10-29,3519.330,3547.340,3547.340,3502.800,358809377.000
2021-11-01,3530.400,3544.480,3556.590,3519.290,382251325.000
2021-11-02,3543.380,3505.630,3559.050,3477.660,417563173.000
2021-11-03,3501.110,3498.540,3512.610,3480.490,306607669.000
2021-11-04,3505.890,3526.870,3527.950,3503.010,319440829.000
